Index,Sinhala Comment
12,ඛරුනා කරලා ළන්කාවේ සහ පෞද්ගලී බස් දෙපාර්සයම රොටේසන් ක්රමය යිවත් කර ටයිමින් සිස්ටම් එක පමනක් කලොත් අනතුරු අඩුකර ගත හැක
13,මේවනේ නිව්ස්
14,මොරටුව වෛද්ය පිඨයේ මහාචාර්ය පුහුණුව ට තාම විසදුම් නැත වහාම ඇමති වරයාගේ මැදිහත් වන ලෙස ඉල්ලා සිටිනවා
15,අපි කැමතියි ඔබ දෙපලට යෝජනා කරන්න හොදම විසදුමනම් රටේ ජනතාවගේ අවමන් විදින්නේ නැතිව සියදිවි නසාගැනීමයි ඔබලාගේ වයස අනුව නිදහස් වෙනවිට හුගාක් වයසයි වෙනත් ආණ්ඩුවක් තවත් අවුරුදු කටවත් එන්නේ නැහැ මාලිමාව තමයි දිගටම තියෙන්නේ
16,ශ්රී ලංකාව යනු ප්රජාතන්ත්රවාදී රටක් රාජ්ය මහජන බහුතර කැමැත්තෙන් පත්වී ඇත වැඩ වර්ජනය කර රාජ්ය හා මහජනතාව අපහසුතාවයට පත් කරන වෘත්තිය කමිටු හා රාජ්ය සේවකයන් වහා සේවයෙන් පහ කරන්න සෑම අංශයකටම අඩුම වශයෙන් ක් වත් යුද හමුදා සෙබළුන් පුහුණු කර සූදානම් කර තබාගන්න එහෙම වුනොත් කවුරුත් වැඩ වර්ජනය කරන්නේ නෑ
17,කෝ මේ මොනවත් කරන්නෑ කරන දෙයක් පේන්නෑ කියන බයියෝ
18,මහින්දආනන්ද මෙහෙම දැක්කම එන්නේ පුදුමයි සතුටක් ජනතාව සතපහකට මායිම් නොකර කට හැකර කමට කියවපු කාලේ හිතන්න නැතුව ඇති ජනතා රජයක් කවදාවත් එයි කියලා
19,නිමල් සිරිපාල පෙරකදෝරුවටත් කූරූ ගනින්න වෙයි
20,ජනාධිපති තුමාට සියලු දෙව් රැකවරණය ලැබේවා
21,ඔය තැපැල් කාර්යාලවල ඉන්නෙ පසුගිය ආණ්ඩුවල බත්බැලයො ටිකක් ඒ නිසා උන් ආණ්ඩුව අපහසුතාවට පත්කිරීමට වැඩවර්ජන කරනවා රජය මෙි තත්ත්වයන් වලට දැඩි ක්රියාමාර්ග ගතයුතු යි
22,ලෝහන් රත්වත්තේ එහෙම කට්ටියටම කැරම් ගහන්න පුලුවනි
23,රටෙ නිතිය හොදටම කෙරෙනවා ගරු අඩිකරනයට අපෙ උත්තමචරය මාලිමාවට ජයවෙවා
24,ෂානියමෛජයවෙවා
25,අපේ මාලිමා රජයටත් ගරු අධිකරණයටත් අල්ලස් හා දූෂණ විමර්ශන කොමිසමටත් ජනතා අපේ උපහාරය පුදමු ආඩම්බරයි
26,කූමිබලා මාලු කැවානම විදවාපන් බළලො
27,ජනාධිපතිතුමා ඔබේ ගම සුරපුරයක් කරන්න අහිංසක ජනතාවට යන්න එන්න හොද පාලම් හදා දෙන්න
28,මුන්ට සිර දඬුවම් දීල වැඩක් නෑ මරණීය දඬුවම විප්ලවීය අධිකකරණයකින් දිය යතුයි
29,අපෝ මාංචුදාගෙන යන හැටි දැක්කාම ලැජ්ජයි ඉස්සර නම් ගියේ මාංචු දාගෙන අත් ඔසවාගෙන හැමෝටම පේන්න ව්රයෝ වගේ දැන් දේශබන්දුටත් අරං ඇති
30,මාලිමාවට ජය වෙවා
31,නියම ආන්ඩුවක් කාටත් ඔය වැලිකඩ ජේලර්ලත් කල්පනාවෙන් වැඩ කලොත් හොඳයි මාලිමාවට ජයවේවා
32,වැලිකඩ බලය විපක්ෂයට
33,සිරකරු වරදකරු බාව්ත කරන්න මාලිමාවට ජයවේවා
34,මාලිමාවට ජයවේවා ජනාධිපති තුමාය ජයවේවා
35,ඔය අල්ලන්න කුඩු වල ආණ්ඩුව මොකද කරන්න කියා දුන්නොත් හොඳටම හොඳයි නේද
36,හොරා කන එවුන්ට හා හොරා කන්න හිතාගෙන ඉන්න මහ එවුන්ට මේක හොද පාඩමක් නව ආණ්ඩුව කරන මේ මෙහෙවරට ස්තුතී
37,වගේ හොරකම් කරපු රජයට පවරා ගන්න ජය වේවා ජය වේවා ජය වේවා ජය වේවා
38,වෙන කෙනෙක් ජනාධිපති උනානම් මෙහෙම වෙයිද අනිත් උන්ට චන්දෙ දීපු උන් හොඳට හිතල බලපල්ලා
39,ජනාධිපති අනුර දළදා සමිඳු පිහිට ලැබේවා ජය වේවා ජය වේවා ජය වේවා ජය වේවා
40,රාජපක්ෂලාවත් දාන්න ඕනේ මුන් එක්කම
41,ගරු අධිකරණයට හිස ආචාර කරමි ස්තුති ස්තුති ස්තුති
42,ගුනවර්දනට මොකුත් නැද් ද
43,ජයවේවා
44,අවුරුදු ක කුනු ගොඩවල් පොඩ්ඩ පොඩ්ඩ සුද්ද වෙනවා සතුටුයි
45,තැපැලේ එක හොර ගුහාවක් ඒවගේම ඔතන ඉන්නේ කාක්කෝ විමර්ශනය කරන්නපැය හදා ගත්තාට පස්සේ වර්ජනය කරන්වා
46,මාලිමාවට ජනාදිපතිතුමාට රටට ජයවෙිවා
47,ස්තුතියි
48,එක එක අය කිව්වෙ හොරුඇල්ලූවදකියල මාලිමාවෙහොරුනෑ මාලිමාවටජයවෙවා
49,නිමල් සිරිපාල
50,වර්ජකයෝ නැවත සේවයට ගන්න එපා බලය පෙන්වන අයට හොම්බෙන් යන්න දෙමු
51,මුන්ට වර්ජන කරන දිනවලට පඩි දෙන්න එපා
52,ගරු අධිකරණයට ජාතියේ ප්රණාමය ජනතාවගේ සිරි මංස කාපු භොරුන්ට උපරිම දඩුවම් ලබා දෙන ගරු අධිකරණයට නැවත නැවතත් ජාතියේ ප්රණාමය පුද කරමු
53,හොඳ වැඩේ පල් හොරුන්ටතව ඉන්නවා ලොකුම හොරා සහ පවුල
54,මේ හැත්ත හිරේ දාලා විතරක් මදි රටේ සල්ලි නැවත ගන්න ඕන ඕකුන්ගෙන් දේපළ විකුනලා හරි
55,සිර දඬුවමක් ලැබුණු අයකුට මහත්මයා කියලා යොදන්න පුලුවන්ද මහත්මා ගති ගුණ ඇති අයට තමයි මහත්මයා කියලා භාවිතා කරන බවයි අපි ඉගෙන ගෙන තියෙන්නේ සිරා දඬුවම් ලැබෙන්නේ මහත්මා ගති නැති අයට කියලා හිතන එක වැරදිද
56,තාම බයයි
57,දැන් තමයි නීතිය අකුරට ක්රියාත්මක වෙන්නේ
58,අනිවාර්යයෙන් අනික් හොරු ට්කත් අල්ලලා ඔවුන් ගෙ දේපල රාජසන්තක කලා නම් රට ගොඩදාන්න පුලුවන්මාලිමාවට සහ ජනපතිට ජයවේවා ඉස්සර නම් පාර්ලිමේන්තුව බලන්නවත් ආස නැ දැන් නම් නිතර බැලෙනවා
59,වැලිකඩ ඉදන්ම කැරම් ගහන්න පුළුවන් දැන්
60,කලින් ගිය දෙන්නත් ඉන්නවා නේ නියමෙටම කැරම් ගැහැවුවහැකි
61,ලියුම් බෙදන අය න් පස්සෙ ගෙදර වැඩඇමතිවරයෙක් කියපු විදියට විද්යාත්මක හදුනාගැනීමකින් පස්සෙ පමනක් බදවාගැනීම් කරන්න ඕනඉන්න පිරිස කළමනාකරණ කරොත් කට්ටිය අයින් කරන්නත් පුලුවන්
62,නාකි මයිනට බඩ යනව ඇති
63,මේ විදහට රට කාපු තක්කඩි හිරේට යද්දී තවත් උන්ට පුක දෙන කාලකන්නි අවජාතක සක්කිලියෙක් ඉන්නවනම් ඌ මොලේ ගූත් එක්ක ගිය එකෙක් වෙන්ඩ ඕන
64,මේ වගේ හොරු ටිකක්නේ මෙතෙක් මේ රට පාලනය කලේ අප්පා
65,දැන් වැලිකඩ ඉදන්ම කැරම් ගහපල්ලා
66,මාලිමාවට ජයවේවා ජනාධිපති තුමාට ජයවේවා
67,මුන්ට තවත් මහතා මහතා කියන්න එපා බ්රෝරෝ
